epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1720.88,1.05476,0.59478,0.94782,0.91023,0.88971,0.94655,0.68232,0.96234,0.50924,0.93657,0.0004655,0.0004655,0.0004655
64,1748.35,1.04749,0.57934,0.95934,0.91651,0.88865,0.94775,0.6885,0.95118,0.50145,0.93408,0.00044075,0.00044075,0.00044075
65,1775.79,1.0639,0.58921,0.95919,0.91809,0.87955,0.9459,0.68781,0.94851,0.5024,0.94219,0.000416,0.000416,0.000416
66,1803.34,1.03704,0.57977,0.95451,0.91126,0.89297,0.94586,0.68346,0.9809,0.50215,0.95329,0.00039125,0.00039125,0.00039125
67,1830.56,1.02142,0.57022,0.94694,0.9243,0.89342,0.94703,0.68817,0.95837,0.49689,0.94102,0.0003665,0.0003665,0.0003665
68,1857.78,1.0298,0.58043,0.94785,0.90725,0.88174,0.94194,0.68406,0.94593,0.50991,0.93682,0.00034175,0.00034175,0.00034175
69,1885.28,1.02784,0.56781,0.94574,0.90436,0.88865,0.94432,0.68937,0.94355,0.49378,0.93578,0.000317,0.000317,0.000317
70,1912.76,1.04097,0.57154,0.94848,0.92556,0.88346,0.94819,0.69371,0.9364,0.48412,0.93385,0.00029225,0.00029225,0.00029225
71,1939.97,0.97074,0.53596,0.95683,0.9183,0.89714,0.94627,0.68887,0.93677,0.50212,0.93154,0.0002675,0.0002675,0.0002675
72,1967.03,0.9813,0.54363,0.95594,0.91325,0.8931,0.94692,0.68689,0.96204,0.49175,0.94218,0.00024275,0.00024275,0.00024275
73,1993.54,0.95746,0.52093,0.94916,0.92433,0.89502,0.94915,0.69079,0.95618,0.484,0.94393,0.000218,0.000218,0.000218
74,2020.15,0.95534,0.52445,0.95431,0.92341,0.89502,0.94979,0.69143,0.95031,0.48519,0.93327,0.00019325,0.00019325,0.00019325
75,2047,0.9393,0.51851,0.93903,0.91865,0.89926,0.94945,0.6979,0.94056,0.48133,0.93707,0.0001685,0.0001685,0.0001685
76,2074.25,0.9453,0.51777,0.94366,0.9209,0.9035,0.95018,0.69616,0.93768,0.47784,0.93371,0.00014375,0.00014375,0.00014375
77,2100.8,0.92277,0.50436,0.93936,0.92179,0.89992,0.95184,0.69878,0.94869,0.47447,0.93832,0.000119,0.000119,0.000119
78,2128.2,0.93987,0.51096,0.93575,0.91273,0.90774,0.95071,0.69743,0.9324,0.47504,0.93065,9.425e-05,9.425e-05,9.425e-05
79,2155.13,0.91613,0.50534,0.93496,0.92227,0.89337,0.94919,0.69754,0.92249,0.47113,0.92852,6.95e-05,6.95e-05,6.95e-05
80,2181.97,0.92757,0.49597,0.92923,0.9205,0.89629,0.94966,0.69994,0.92966,0.47052,0.93477,4.475e-05,4.475e-05,4.475e-05
